PAP ID,PAP Refs ,X Coord,Y Coord
16032,BUN0677,173867.289,85656.982
16033,BUN0678,173885.200,85688.975
16035,BUN0679,173896.071,85707.607
16036,BUN0680,173919.703,85749.972
16041,BUN0681,173958.389,85816.347
16045,BUN0682,173981.494,85857.877
16047,BUN0683,174011.008,85908.750
16051,BUN0684,174032.205,85946.323
16054,BUN0685,174050.287,85977.951
16056,BUN0686,174055.760,85988.890
16058,BUN0687,174064.424,86001.562
16062,BUN0688,174075.139,86022.216
16064,BUN0689,174085.854,86040.576
16080,BUN0690,174093.706,86054.288
16082,BUN0691,174106.411,86075.452
16169,BUN0692,174120.052,86100.014
16084,BUN0693,174128.072,86114.101
16086,BUN0694,174142.035,86137.242
16088,BUN0695,174153.761,86159.119
16090,BUN0696,174167.050,86182.558
16091,BUN0697,174193.676,86208.980
16098,BUN0698,174215.763,86229.873
16095,BUN0699,174239.427,86253.131
16100,BUN0700,174265.057,86279.649
16101,BUN0701,174298.107,86311.546
16103,BUN0702,174332.038,86343.865
16105,BUN0703,174352.796,86355.036
16107,BUN0704,174433.138,86368.083
16108,BUN0705,174501.922,86378.160
16111,BUN0706,174558.872,86386.665
16114,BUN0707,174607.054,86393.992
16116,BUN0708,174632.624,86396.864
16117,BUN0709,174632.885,86401.042
16119,BUN0710,174676.777,86404.697
16121,BUN0711,174769.510,86418.096
16122,BUN0712,174798.983,86438.325
16124,BUN0713,174824.696,86454.690
16125,BUN0714,174847.574,86469.846
16127,BUN0715,174896.867,86504.187
16129,BUN0716,175001.180,86576.198
16130,BUN0717,175017.816,86581.169
16133,BUN0718,175029.297,86628.446
16135,BUN0719,175047.972,86689.526
16136,BUN0720,175094.126,86836.625
16137,BUN0721,175118.106,86914.423
16138,BUN0722,175165.427,86963.634
16141,BUN0723,175188.734,86988.943
16131,BUN0724,175208.301,87008.787
16143,BUN0725,175223.839,87026.619
16145,BUN0726,175258.346,87061.630
16146,BUN0727,175292.594,87099.099
